station,valid,lon,lat,tmpf,dwpf,sknt,drct,mslp,gust,p01i,skyc1,skyc2,skyc3,skyc4,station_id,elevation
6B9,2022-11-18 19:55,-76.4408,42.914,32.0,30.2,0.0,0.0,,,0.0,FEW,SCT,BKN,M,6B9,304.32452
ALB,2022-11-18 19:51,-73.8036,42.7576,40.0,19.9,8.0,240.0,1015.4,,0.00,BKN,BKN,M,M,ALB,89.0
ALB,2022-11-18 19:55,-73.8036,42.7576,,,13.0,270.0,,,M,BKN,BKN,OVC,M,ALB,89.0
ALB,2022-11-18 20:00,-73.8036,42.7576,,,11.0,270.0,,,M,BKN,BKN,M,M,ALB,89.0
ALB,2022-11-18 20:05,-73.8036,42.7576,,,10.0,260.0,,,M,BKN,BKN,M,M,ALB,89.0
ART,2022-11-18 19:50,-76.0262,43.9888,,,15.0,250.0,,23.0,0.07,VV ,M,M,M,ART,99.0
ART,2022-11-18 19:55,-76.0262,43.9888,,,17.0,,,,0.07,VV ,M,M,M,ART,99.0
ART,2022-11-18 19:56,-76.0262,43.9888,30.9,28.9,16.0,270.0,1013.2,26.0,0.07,VV ,M,M,M,ART,99.0
ART,2022-11-18 20:00,-76.0262,43.9888,,,11.0,260.0,,17.0,M,VV ,M,M,M,ART,99.0
ART,2022-11-18 20:05,-76.0262,43.9888,,,14.0,,,,M,VV ,M,M,M,ART,99.0
BGM,2022-11-18 19:50,-75.9797,42.2086,,,9.0,260.0,,,M,FEW,OVC,M,M,BGM,497.0
BGM,2022-11-18 19:53,-75.9797,42.2086,32.0,17.1,10.0,260.0,1014.3,,0.00,FEW,BKN,OVC,M,BGM,497.0
BGM,2022-11-18 19:55,-75.9797,42.2086,,,9.0,240.0,,,M,FEW,BKN,OVC,M,BGM,497.0
BGM,2022-11-18 20:00,-75.9797,42.2086,,,5.0,230.0,,,M,FEW,BKN,OVC,M,BGM,497.0
BGM,2022-11-18 20:05,-75.9797,42.2086,,,11.0,230.0,,,M,BKN,OVC,M,M,BGM,497.0
BUF,2022-11-18 19:50,-78.7358,42.9408,,,8.0,190.0,,,M,BKN,OVC,M,M,BUF,215.0
BUF,2022-11-18 19:54,-78.7358,42.9408,28.9,26.1,9.0,200.0,1014.2,,0.0001,FEW,FEW,OVC,M,BUF,215.0
BUF,2022-11-18 19:55,-78.7358,42.9408,,,9.0,200.0,,,M,BKN,OVC,M,M,BUF,215.0
BUF,2022-11-18 20:00,-78.7358,42.9408,,,11.0,,,,M,BKN,OVC,M,M,BUF,215.0
BUF,2022-11-18 20:05,-78.7358,42.9408,,,11.0,210.0,,,M,FEW,OVC,M,M,BUF,215.0
DKK,2022-11-18 19:50,-79.272,42.4933,,,14.0,220.0,,,0.01,VV ,M,M,M,DKK,203.0
DKK,2022-11-18 19:53,-79.272,42.4933,32.0,27.0,15.0,230.0,1015.5,24.0,0.01,VV ,M,M,M,DKK,203.0
DKK,2022-11-18 19:55,-79.272,42.4933,,,14.0,230.0,,,M,VV ,M,M,M,DKK,203.0
DKK,2022-11-18 20:00,-79.272,42.4933,,,14.0,220.0,,,M,VV ,M,M,M,DKK,203.0
DKK,2022-11-18 20:05,-79.272,42.4933,,,11.0,220.0,,,M,VV ,M,M,M,DKK,203.0
DKK,2022-11-18 20:06,-79.272,42.4933,30.9,27.0,13.0,220.0,,22.0,0.0001,VV ,M,M,M,DKK,203.0
DSV,2022-11-18 19:50,-77.713,42.5709,,,9.0,210.0,,,M,FEW,OVC,M,M,DSV,209.0
DSV,2022-11-18 19:54,-77.713,42.5709,38.0,17.1,7.0,210.0,1015.3,17.0,0.00,FEW,OVC,M,M,DSV,209.0
DSV,2022-11-18 19:55,-77.713,42.5709,,,7.0,210.0,,,M,FEW,OVC,M,M,DSV,209.0
DSV,2022-11-18 20:00,-77.713,42.5709,,,5.0,210.0,,,M,FEW,OVC,M,M,DSV,209.0
DSV,2022-11-18 20:05,-77.713,42.5709,,,11.0,200.0,,,M,OVC,M,M,M,DSV,209.0
ELM,2022-11-18 19:50,-76.8994,42.1571,,,15.0,240.0,,,M,BKN,OVC,M,M,ELM,287.12537
ELM,2022-11-18 19:53,-76.8994,42.1571,37.0,16.0,17.0,240.0,1014.4,24.0,0.00,BKN,OVC,M,M,ELM,287.12537
ELM,2022-11-18 19:55,-76.8994,42.1571,,,14.0,240.0,,,M,BKN,OVC,M,M,ELM,287.12537
ELM,2022-11-18 20:00,-76.8994,42.1571,,,15.0,250.0,,,M,BKN,OVC,M,M,ELM,287.12537
ELM,2022-11-18 20:05,-76.8994,42.1571,,,14.0,260.0,,,M,SCT,SCT,OVC,M,ELM,287.12537
ELZ,2022-11-18 19:50,-77.9842,42.1078,,,11.0,240.0,,,M,SCT,BKN,OVC,M,ELZ,639.0
ELZ,2022-11-18 19:54,-77.9842,42.1078,28.4,19.4,7.0,240.0,,16.0,0.0001,SCT,SCT,OVC,M,ELZ,639.0
ELZ,2022-11-18 19:55,-77.9842,42.1078,,,5.0,250.0,,,M,SCT,BKN,OVC,M,ELZ,639.0
ELZ,2022-11-18 19:56,-77.9842,42.1078,28.9,21.0,7.0,260.0,1015.6,16.0,0.0001,SCT,BKN,OVC,M,ELZ,639.0
ELZ,2022-11-18 20:00,-77.9842,42.1078,,,7.0,240.0,,,M,SCT,BKN,OVC,M,ELZ,639.0
ELZ,2022-11-18 20:05,-77.9842,42.1078,,,8.0,230.0,,,M,BKN,OVC,M,M,ELZ,639.0
ELZ,2022-11-18 20:07,-77.9842,42.1078,28.9,21.0,7.0,230.0,,,0.0001,BKN,OVC,M,M,ELZ,639.0
FOK,2022-11-18 19:50,-72.6318,40.8436,,,14.0,250.0,,,M,BKN,M,M,M,FOK,20.0
FOK,2022-11-18 19:53,-72.6318,40.8436,43.0,19.0,15.0,260.0,1017.6,21.0,0.00,BKN,M,M,M,FOK,20.0
FOK,2022-11-18 19:55,-72.6318,40.8436,,,16.0,250.0,,,M,BKN,M,M,M,FOK,20.0
FOK,2022-11-18 20:00,-72.6318,40.8436,,,16.0,260.0,,,M,BKN,M,M,M,FOK,20.0
FOK,2022-11-18 20:05,-72.6318,40.8436,,,11.0,260.0,,,M,SCT,M,M,M,FOK,20.0
FRG,2022-11-18 19:50,-73.4134,40.7288,,,11.0,260.0,,,M,FEW,M,M,M,FRG,25.0
FRG,2022-11-18 19:53,-73.4134,40.7288,44.0,17.1,13.0,280.0,1017.4,23.0,0.00,FEW,M,M,M,FRG,25.0
FRG,2022-11-18 19:55,-73.4134,40.7288,,,11.0,,,,M,FEW,M,M,M,FRG,25.0
FRG,2022-11-18 20:00,-73.4134,40.7288,,,11.0,280.0,,,M,FEW,M,M,M,FRG,25.0
FRG,2022-11-18 20:05,-73.4134,40.7288,,,16.0,,,22.0,M,FEW,M,M,M,FRG,25.0
FZY,2022-11-18 19:50,-76.3831,43.3504,,,11.0,220.0,,16.0,M,OVC,M,M,M,FZY,141.82646
FZY,2022-11-18 19:54,-76.3831,43.3504,34.0,24.1,12.0,220.0,1013.8,20.0,0.00,OVC,M,M,M,FZY,141.82646
FZY,2022-11-18 19:55,-76.3831,43.3504,,,13.0,220.0,,22.0,M,OVC,M,M,M,FZY,141.82646
GFL,2022-11-18 19:50,-73.6103,43.3412,,,11.0,230.0,,,M,FEW,M,M,M,GFL,100.0
GFL,2022-11-18 19:53,-73.6103,43.3412,38.0,18.0,9.0,250.0,1014.5,19.0,0.00,FEW,FEW,M,M,GFL,100.0
GFL,2022-11-18 20:05,-73.6103,43.3412,,,8.0,240.0,,,M,SCT,BKN,M,M,GFL,100.0
GTB,2022-11-18 19:55,-75.7195,44.0556,28.4,27.3,6.0,230.0,1012.8,,0.0001,SCT,OVC,M,M,GTB,207.0
GVQ,2022-11-18 19:50,-78.1675,43.0317,,,10.0,220.0,,,M,FEW,OVC,M,M,GVQ,275.45084
GVQ,2022-11-18 19:51,-78.1675,43.0317,28.4,24.8,10.0,230.0,,17.0,0.0001,FEW,BKN,OVC,M,GVQ,275.45084
GVQ,2022-11-18 19:52,-78.1675,43.0317,28.9,25.0,9.0,230.0,1014.0,17.0,0.0001,FEW,BKN,OVC,M,GVQ,275.45084
GVQ,2022-11-18 19:55,-78.1675,43.0317,,,10.0,230.0,,,M,FEW,BKN,OVC,M,GVQ,275.45084
GVQ,2022-11-18 20:00,-78.1675,43.0317,,,11.0,220.0,,,M,FEW,OVC,M,M,GVQ,275.45084
GVQ,2022-11-18 20:00,-78.1675,43.0317,28.4,24.8,11.0,220.0,,14.0,0.0001,FEW,OVC,M,M,GVQ,275.45084
GVQ,2022-11-18 20:05,-78.1675,43.0317,28.4,24.8,10.0,220.0,,19.0,0.0001,FEW,BKN,OVC,M,GVQ,275.45084
GVQ,2022-11-18 20:05,-78.1675,43.0317,,,10.0,220.0,,,M,FEW,BKN,OVC,M,GVQ,275.45084
HPN,2022-11-18 19:50,-73.7075,41.0669,,,5.0,250.0,,,M,OVC,M,M,M,HPN,134.0
HPN,2022-11-18 19:55,-73.7075,41.0669,,,7.0,260.0,,,M,BKN,M,M,M,HPN,134.0
HPN,2022-11-18 19:56,-73.7075,41.0669,40.0,17.1,6.0,260.0,1016.8,,0.00,BKN,M,M,M,HPN,134.0
HPN,2022-11-18 20:00,-73.7075,41.0669,,,7.0,250.0,,,M,OVC,M,M,M,HPN,134.0
HPN,2022-11-18 20:05,-73.7075,41.0669,,,5.0,220.0,,,M,OVC,M,M,M,HPN,134.0
HWV,2022-11-18 19:50,-72.8689,40.8217,,,10.0,250.0,,,M,FEW,M,M,M,HWV,25.0
HWV,2022-11-18 19:55,-72.8689,40.8217,,,14.0,,,,M,FEW,M,M,M,HWV,25.0
HWV,2022-11-18 19:56,-72.8689,40.8217,44.0,18.0,12.0,230.0,1017.3,21.0,0.00,FEW,M,M,M,HWV,25.0
HWV,2022-11-18 20:00,-72.8689,40.8217,,,11.0,220.0,,,M,FEW,M,M,M,HWV,25.0
HWV,2022-11-18 20:05,-72.8689,40.8217,,,15.0,250.0,,,M,CLR,M,M,M,HWV,25.0
IAG,2022-11-18 19:50,-78.9462,43.1073,,,13.0,270.0,,,M,FEW,BKN,OVC,M,IAG,180.0
IAG,2022-11-18 19:53,-78.9462,43.1073,35.0,21.9,13.0,260.0,1014.3,,0.0001,FEW,SCT,OVC,M,IAG,180.0
IAG,2022-11-18 19:55,-78.9462,43.1073,,,11.0,260.0,,,M,FEW,SCT,OVC,M,IAG,180.0
IAG,2022-11-18 20:00,-78.9462,43.1073,,,14.0,270.0,,,M,FEW,OVC,M,M,IAG,180.0
IAG,2022-11-18 20:05,-78.9462,43.1073,,,15.0,270.0,,,M,FEW,BKN,OVC,M,IAG,180.0
ISP,2022-11-18 19:50,-73.1017,40.7939,,,13.0,270.0,,,M,FEW,M,M,M,ISP,30.0
ISP,2022-11-18 19:55,-73.1017,40.7939,,,15.0,270.0,,,M,FEW,M,M,M,ISP,30.0
ISP,2022-11-18 19:56,-73.1017,40.7939,44.0,17.1,14.0,270.0,1017.1,,0.00,FEW,M,M,M,ISP,30.0
ISP,2022-11-18 20:00,-73.1017,40.7939,,,11.0,270.0,,,M,CLR,M,M,M,ISP,30.0
ISP,2022-11-18 20:05,-73.1017,40.7939,,,11.0,270.0,,,M,CLR,M,M,M,ISP,30.0
ITH,2022-11-18 19:50,-76.4584,42.491,,,9.0,270.0,,,M,FEW,OVC,M,M,ITH,335.0
ITH,2022-11-18 19:55,-76.4584,42.491,,,11.0,270.0,,,M,OVC,M,M,M,ITH,335.0
