station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KBUF,2022-11-19 00:00:00,9,989.0,218.0,-0.5,-4.9,240.0,13,0.0,0.0
KBUF,2022-11-19 00:00:00,4,1000.0,131.0,M,M,M,M,M,M
KBUF,2022-11-19 00:00:00,5,978.0,307.0,-0.9,-7.9,M,M,M,M
KBUF,2022-11-19 00:00:00,6,941.5,609.0,M,M,260.0,23,69.0,0.0
KBUF,2022-11-19 00:00:00,4,925.0,750.0,-5.1,-9.7,265.0,27,73.0,0.0
KBUF,2022-11-19 00:00:00,6,905.7,914.0,M,M,260.0,27,76.0,0.0
KBUF,2022-11-19 00:00:00,5,882.0,1120.0,-8.3,-11.9,M,M,M,M
KBUF,2022-11-19 00:00:00,6,870.8,1219.0,M,M,275.0,26,80.0,1.0
KBUF,2022-11-19 00:00:00,5,857.0,1342.0,-9.9,-16.9,M,M,M,M
KBUF,2022-11-19 00:00:00,4,850.0,1407.0,-10.5,-16.5,275.0,31,82.0,1.0
KBUF,2022-11-19 00:00:00,5,841.0,1489.0,-11.1,-18.1,M,M,M,M
KBUF,2022-11-19 00:00:00,6,804.3,1828.0,M,M,265.0,33,85.0,2.0
KBUF,2022-11-19 00:00:00,5,800.0,1869.0,-14.5,-19.4,M,M,M,M
KBUF,2022-11-19 00:00:00,6,772.3,2133.0,M,M,265.0,36,85.0,2.0
KBUF,2022-11-19 00:00:00,5,758.0,2273.0,-18.5,-20.0,M,M,M,M
KBUF,2022-11-19 00:00:00,5,744.0,2411.0,-19.3,-19.4,M,M,M,M
KBUF,2022-11-19 00:00:00,6,741.3,2438.0,M,M,260.0,39,84.0,3.0
KBUF,2022-11-19 00:00:00,5,733.0,2521.0,-19.9,-20.0,M,M,M,M
KBUF,2022-11-19 00:00:00,6,711.6,2743.0,M,M,255.0,36,83.0,4.0
KBUF,2022-11-19 00:00:00,4,700.0,2866.0,-21.5,-23.9,245.0,39,82.0,4.0
KBUF,2022-11-19 00:00:00,5,698.0,2887.0,-21.7,-24.2,M,M,M,M
KBUF,2022-11-19 00:00:00,5,691.0,2961.0,-22.1,-24.1,M,M,M,M
KBUF,2022-11-19 00:00:00,5,687.0,3004.0,-22.3,-25.9,M,M,M,M
KBUF,2022-11-19 00:00:00,6,682.9,3048.0,M,M,240.0,41,80.0,4.0
